City	State	Country
Faizabad	Badakhshān	Afghanistan
Sheghnan	Badakhshān	Afghanistan
Ishkashim	Badakhshān	Afghanistan
Qal`ah-ye Now	Bādghīs	Afghanistan
Pul-e Khumri	Baghlān	Afghanistan
Baghlan	Baghlān	Afghanistan
Mazar-e Sharif	Balkh	Afghanistan
Balkh	Balkh	Afghanistan
Bala Koh	Balkh	Afghanistan
Khulm	Balkh	Afghanistan
Bamyan	Bāmyān	Afghanistan
Bazar-e Yakawlang	Bāmyān	Afghanistan
Panjab	Bāmyān	Afghanistan
Hukumati Gizab	Dāykundī	Afghanistan
Nili	Dāykundī	Afghanistan
Farah	Farāh	Afghanistan
Tujg	Farāh	Afghanistan
Maimanah	Fāryāb	Afghanistan
Andkhoy	Fāryāb	Afghanistan
Ghazni	Ghaznī	Afghanistan
Fayroz Koh	Ghōr	Afghanistan
Taywarah	Ghōr	Afghanistan
Lashkar Gah	Helmand	Afghanistan
Hukumati Baghran	Helmand	Afghanistan
Sangin	Helmand	Afghanistan
Deh-e Shu	Helmand	Afghanistan
Herat	Herāt	Afghanistan
Ghoriyan	Herāt	Afghanistan
Karukh	Herāt	Afghanistan
Kushk	Herāt	Afghanistan
Islam Qal`ah	Herāt	Afghanistan
Kuhsan	Herāt	Afghanistan
Aqchah	Jowzjān	Afghanistan
Shibirghan	Jowzjān	Afghanistan
Qarqin	Jowzjān	Afghanistan
Kabul	Kābul	Afghanistan
Paghman	Kābul	Afghanistan
Gudarah	Kābul	Afghanistan
Bagrami	Kābul	Afghanistan
Kandahar	Kandahār	Afghanistan
Mahmud-e Raqi	Kāpīsā	Afghanistan
Khost	Khōst	Afghanistan
Asadabad	Kunaṟ	Afghanistan
Kunduz	Kunduz	Afghanistan
Khanabad	Kunduz	Afghanistan
Qal`ah-ye Zal	Kunduz	Afghanistan
Imam Sahib	Kunduz	Afghanistan
Chichkah	Kunduz	Afghanistan
Mehtar Lam	Laghmān	Afghanistan
Pul-e `Alam	Lōgar	Afghanistan
Baraki Barak	Lōgar	Afghanistan
Baraki	Lōgar	Afghanistan
Jalalabad	Nangarhār	Afghanistan
Haskah Menah	Nangarhār	Afghanistan
Mama Khel	Nangarhār	Afghanistan
Zaranj	Nīmrōz	Afghanistan
Parun	Nūristān	Afghanistan
Zarah Sharan	Paktīkā	Afghanistan
Zarghun Shahr	Paktīkā	Afghanistan
Urgun	Paktīkā	Afghanistan
Sharan	Paktīkā	Afghanistan
Gardez	Paktiyā	Afghanistan
Bazarak	Panjshir	Afghanistan
Charikar	Parwān	Afghanistan
Aibak	Samangān	Afghanistan
Sar-e Pul	Sar-e Pul	Afghanistan
Taluqan	Takhār	Afghanistan
Tarin Kot	Uruzgān	Afghanistan
Kotah-ye `Ashro	Wardak	Afghanistan
Maidan Shahr	Wardak	Afghanistan
Qalat	Zābul	Afghanistan
Berat	Berat	Albania
Kucove	Berat	Albania
Perondi	Berat	Albania
Corovode	Berat	Albania
Peshkopi	Dibër	Albania
Burrel	Dibër	Albania
Durres	Durrës	Albania
Fushe-Kruje	Durrës	Albania
Sukth	Durrës	Albania
Kruje	Durrës	Albania
Elbasan	Elbasan	Albania
Librazhd-Qender	Elbasan	Albania
Belsh	Elbasan	Albania
Gramsh	Elbasan	Albania
Librazhd	Elbasan	Albania
Fier	Fier	Albania
Lushnje	Fier	Albania
Patos	Fier	Albania
Gjirokaster	Gjirokastër	Albania
Permet	Gjirokastër	Albania
Tepelene	Gjirokastër	Albania
Korce	Korçë	Albania
Pogradec	Korçë	Albania
Bucimas	Korçë	Albania
Libonik	Korçë	Albania
Erseke	Korçë	Albania
Kukes	Kukës	Albania
Bajram Curri	Kukës	Albania
Lac	Lezhë	Albania
Lezhe	Lezhë	Albania
Rreshen	Lezhë	Albania
Shkoder	Shkodër	Albania
Puke	Shkodër	Albania
Tirana	Tiranë	Albania
Kamez	Tiranë	Albania
Kavaje	Tiranë	Albania
Vlore	Vlorë	Albania
Sarande	Vlorë	Albania
Adrar	Adrar	Algeria
Reggane	Adrar	Algeria
Timoktene	Adrar	Algeria
Tsabit	Adrar	Algeria
Zaouiet Kounta	Adrar	Algeria
Sali	Adrar	Algeria
Aougrout	Adrar	Algeria
Charouine	Adrar	Algeria
Akabli	Adrar	Algeria
Fenoughil	Adrar	Algeria
Tamentit	Adrar	Algeria
Khemis Miliana	Aïn Defla	Algeria
Ain Defla	Aïn Defla	Algeria
El Attaf	Aïn Defla	Algeria
Miliana	Aïn Defla	Algeria
Djendel	Aïn Defla	Algeria
Sidi Lakhdar	Aïn Defla	Algeria
Theniet el Had	Aïn Defla	Algeria
El Abadia	Aïn Defla	Algeria
Ouamri	Aïn Defla	Algeria
Ain Lechiakh	Aïn Defla	Algeria
Ain Temouchent	Aïn Temouchent	Algeria
Beni Saf	Aïn Temouchent	Algeria
Hammam Bou Hadjar	Aïn Temouchent	Algeria
Terga	Aïn Temouchent	Algeria
El Amria	Aïn Temouchent	Algeria
El Malah	Aïn Temouchent	Algeria
Chaabat el Leham	Aïn Temouchent	Algeria
Sidi Ben Adda	Aïn Temouchent	Algeria
'Ain el Arbaa	Aïn Temouchent	Algeria
Hassi el Ghella	Aïn Temouchent	Algeria
'Ain Tolba	Aïn Temouchent	Algeria
Oued Sebbah	Aïn Temouchent	Algeria
Tamzoura	Aïn Temouchent	Algeria
Algiers	Alger	Algeria
Bordj el Kiffan	Alger	Algeria
Bab Ezzouar	Alger	Algeria
Dar el Beida	Alger	Algeria
Birkhadem	Alger	Algeria
Rouiba	Alger	Algeria
Ain Taya	Alger	Algeria
Bordj el Bahri	Alger	Algeria
El Marsa	Alger	Algeria
Annaba	Annaba	Algeria
Drean	Annaba	Algeria
El Hadjar	Annaba	Algeria
Oued el Aneb	Annaba	Algeria
Nechmeya	Annaba	Algeria
Batna	Batna	Algeria
Barika	Batna	Algeria
Merouana	Batna	Algeria
Ain Touta	Batna	Algeria
Arris	Batna	Algeria
N'Gaous	Batna	Algeria
Tazoult-Lambese	Batna	Algeria
Bouzina	Batna	Algeria
Teniet el Abed	Batna	Algeria
Ksar Belezma	Batna	Algeria
Bechar	Béchar	Algeria
Abadla	Béchar	Algeria
Kenadsa	Béchar	Algeria
Beni Ounif	Béchar	Algeria
Bejaia	Bejaïa	Algeria
Akbou	Bejaïa	Algeria
Kherrata	Bejaïa	Algeria
El Kseur	Bejaïa	Algeria
Barbacha	Bejaïa	Algeria
Tizi-n-Bechar	Bejaïa	Algeria
Tichi	Bejaïa	Algeria
Adekar Kebouche	Bejaïa	Algeria
Ziama Mansouria	Bejaïa	Algeria
Toudja	Bejaïa	Algeria
Seddouk Oufella	Bejaïa	Algeria
Boukhralfa	Bejaïa	Algeria
Amalou	Bejaïa	Algeria
Tifra	Bejaïa	Algeria
Beni Abbes	Béni Abbès	Algeria
Biskra	Biskra	Algeria
Sidi Khaled	Biskra	Algeria
Sidi Okba	Biskra	Algeria
Foughala	Biskra	Algeria
Lioua	Biskra	Algeria
Menaa	Biskra	Algeria
Djemmorah	Biskra	Algeria
Bouchagroun	Biskra	Algeria
M'Chouneche	Biskra	Algeria
'Ain Naga	Biskra	Algeria
El Outaya	Biskra	Algeria
Lichana	Biskra	Algeria
Chetma	Biskra	Algeria
Blida	Blida	Algeria
Boufarik	Blida	Algeria
Oulad Yaich	Blida	Algeria
Meftah	Blida	Algeria
Sidi Moussa	Blida	Algeria
Bougara	Blida	Algeria
Souma	Blida	Algeria
Beni Tamou	Blida	Algeria
Ouled Slama Tahta	Blida	Algeria
Chebli	Blida	Algeria
Beni Mered	Blida	Algeria
Ouled Chebel	Blida	Algeria
Bordj Mokhtar	Bordj Badji Mokhtar	Algeria
Bordj Bou Arreridj	Bordj Bou Arréridj	Algeria
Ras el Oued	Bordj Bou Arréridj	Algeria
Khelil	Bordj Bou Arréridj	Algeria
Bordj Ghdir	Bordj Bou Arréridj	Algeria
Mansourah	Bordj Bou Arréridj	Algeria
El Hammadia	Bordj Bou Arréridj	Algeria
Bir Kasdali	Bordj Bou Arréridj	Algeria
El Achir	Bordj Bou Arréridj	Algeria
Medjana	Bordj Bou Arréridj	Algeria
El Ach	Bordj Bou Arréridj	Algeria
Melouza	Bordj Bou Arréridj	Algeria
Galbois	Bordj Bou Arréridj	Algeria
'Ain Taghrout	Bordj Bou Arréridj	Algeria
Rabta	Bordj Bou Arréridj	Algeria
Bel Imour	Bordj Bou Arréridj	Algeria
Bordj Zemoura	Bordj Bou Arréridj	Algeria
Sidi Embarek	Bordj Bou Arréridj	Algeria
Tixter	Bordj Bou Arréridj	Algeria
Tassera	Bordj Bou Arréridj	Algeria
Bouira	Bouira	Algeria
Lakhdaria	Bouira	Algeria
Sour el Ghozlane	Bouira	Algeria
Draa el Mizan	Bouira	Algeria
Ain Bessem	Bouira	Algeria
Tazmalt	Bouira	Algeria
Illiltene	Bouira	Algeria
Kadiria	Bouira	Algeria
M'Chedallah	Bouira	Algeria
Aomar	Bouira	Algeria
Chorfa	Bouira	Algeria
Guerouma	Bouira	Algeria
Djebahia	Bouira	Algeria
Ouled Sidi Brahim	Bouira	Algeria
Takerbouzt	Bouira	Algeria
El Hachimia	Bouira	Algeria
El Esnam	Bouira	Algeria
El Adjiba	Bouira	Algeria
Bechloul	Bouira	Algeria
Bordj Okhriss	Bouira	Algeria
Ouled Rached	Bouira	Algeria
Ain el Hadjar	Bouira	Algeria
Khemis el Khechna	Boumerdes	Algeria
Reghaia	Boumerdes	Algeria
Bordj Menaiel	Boumerdes	Algeria
Boudouaou	Boumerdes	Algeria
Ouled Moussa	Boumerdes	Algeria
Boumerdes	Boumerdes	Algeria
Dellys	Boumerdes	Algeria
Isser	Boumerdes	Algeria
Draa Ben Khedda	Boumerdes	Algeria
Chabet el Ameur	Boumerdes	Algeria
Tizi Gheniff	Boumerdes	Algeria
Ouled Haddaj	Boumerdes	Algeria
Zemmouri	Boumerdes	Algeria
Beni Amrane	Boumerdes	Algeria
Makouda	Boumerdes	Algeria
Tadmait	Boumerdes	Algeria
Naciria	Boumerdes	Algeria
Djinet	Boumerdes	Algeria
Thenia	Boumerdes	Algeria
Arbatache	Boumerdes	Algeria
Sidi Daoud	Boumerdes	Algeria
Baghlia	Boumerdes	Algeria
Tidjelabine	Boumerdes	Algeria
Afir	Boumerdes	Algeria
Si Mustapha	Boumerdes	Algeria
Sidi Namane	Boumerdes	Algeria
Boudouaou el Bahri	Boumerdes	Algeria
Ben N'Choud	Boumerdes	Algeria
Chlef	Chlef	Algeria
Boukadir	Chlef	Algeria
Oued Sly	Chlef	Algeria
Oued Fodda	Chlef	Algeria
Tenes	Chlef	Algeria
Ouled Fares	Chlef	Algeria
Sendjas	Chlef	Algeria
Ouled Ben Abd el Kader	Chlef	Algeria
Taougrite	Chlef	Algeria
Sidi Akkacha	Chlef	Algeria
Zeboudja	Chlef	Algeria
El Karimia	Chlef	Algeria
Beni Rached	Chlef	Algeria
Bouzeghaia	Chlef	Algeria
Oum Drou	Chlef	Algeria
Beni Haoua	Chlef	Algeria
Abou el Hassan	Chlef	Algeria
Sidi Merouane	Chlef	Algeria
Herenfa	Chlef	Algeria
Damous	Chlef	Algeria
Harchoune	Chlef	Algeria
Labiod Medjadja	Chlef	Algeria
Benairia	Chlef	Algeria
Ouled Abbes	Chlef	Algeria
Constantine	Constantine	Algeria
El Khroub	Constantine	Algeria
Hamma Bouziane	Constantine	Algeria
Didouche Mourad	Constantine	Algeria
Ain Smara	Constantine	Algeria
'Ain Abid	Constantine	Algeria
Zighout Youcef	Constantine	Algeria
Ouled Rahmoun	Constantine	Algeria
Ebn Ziad	Constantine	Algeria
Djanet	Djanet	Algeria
Djelfa	Djelfa	Algeria
Messaad	Djelfa	Algeria
Ain Oussera	Djelfa	Algeria
Hassi Bahbah	Djelfa	Algeria
El Idrissia	Djelfa	Algeria
Feidh el Botma	Djelfa	Algeria
Birine	Djelfa	Algeria
Dar Chioukh	Djelfa	Algeria
Had Sahary	Djelfa	Algeria
'Ain el Bell	Djelfa	Algeria
'Ain Mabed	Djelfa	Algeria
Charef	Djelfa	Algeria
Ain Feka	Djelfa	Algeria
Moudjbara	Djelfa	Algeria
Selmana	Djelfa	Algeria
'Ain Mouilah	Djelfa	Algeria
Sidi Ladjel	Djelfa	Algeria
El Bayadh	El Bayadh	Algeria
El Abiodh Sidi Cheikh	El Bayadh	Algeria
Bougtob	El Bayadh	Algeria
El Meghaier	El Meghaier	Algeria
El Golea	El Meniaa	Algeria
El Oued	El Oued	Algeria
Reguiba	El Oued	Algeria
Guemar	El Oued	Algeria
Hassi Khelifa	El Oued	Algeria
Debila	El Oued	Algeria
Robbah	El Oued	Algeria
Mouiat Ouennsa	El Oued	Algeria
Tarhzout	El Oued	Algeria
Nakhla	El Oued	Algeria
Sidi Aoun	El Oued	Algeria
Kouinine	El Oued	Algeria
Tenedla	El Oued	Algeria
El Tarf	El Tarf	Algeria
Bou Hadjar	El Tarf	Algeria
'Ain el Assel	El Tarf	Algeria
'Ain Kerma	El Tarf	Algeria
Asfour	El Tarf	Algeria
Zerizer	El Tarf	Algeria
Lac des Oiseaux	El Tarf	Algeria
Ghardaia	Ghardaïa	Algeria
Metlili Chaamba	Ghardaïa	Algeria
Bou Noura	Ghardaïa	Algeria
Berriane	Ghardaïa	Algeria
El Ateuf	Ghardaïa	Algeria
Zelfana	Ghardaïa	Algeria
Guelma	Guelma	Algeria
Oued Zenati	Guelma	Algeria
Hammam M'Bails	Guelma	Algeria
Boumahra Ahmed	Guelma	Algeria
Belkheir	Guelma	Algeria
Bouchegouf	Guelma	Algeria
Oued Cheham	Guelma	Algeria
Bouati Mahmoud	Guelma	Algeria
Illizi	Illizi	Algeria
I-n-Amenas	Illizi	Algeria
In Guezzam	In Guezzam	Algeria
I-n-Salah	In Salah	Algeria
Jijel	Jijel	Algeria
El Milia	Jijel	Algeria
Taher	Jijel	Algeria
Chekfa	Jijel	Algeria
Emir Abdelkader	Jijel	Algeria
Kaous	Jijel	Algeria
El Ancer	Jijel	Algeria
Texenna	Jijel	Algeria
Settara	Jijel	Algeria
El Aouana	Jijel	Algeria
Sidi Abdelaziz	Jijel	Algeria
Chahana	Jijel	Algeria
Khenchela	Khenchela	Algeria
Kais	Khenchela	Algeria
Babar	Khenchela	Algeria
Dhalaa	Khenchela	Algeria
Bouhmama	Khenchela	Algeria
Tamza	Khenchela	Algeria
Laghouat	Laghouat	Algeria
Aflou	Laghouat	Algeria
Tadjmout	Laghouat	Algeria
Ksar el Hirane	Laghouat	Algeria
Gueltat Sidi Saad	Laghouat	Algeria
Sidi Makhlouf	Laghouat	Algeria
Sidi Aissa	M’sila	Algeria
M'Sila	M’sila	Algeria
'Ain el Melh	M’sila	Algeria
Magra	M’sila	Algeria
Hammam Dalaa	M’sila	Algeria
Selmane	M’sila	Algeria
`Ain el Hadjel	M’sila	Algeria
Berhoum	M’sila	Algeria
Mechta Ouled Oulha	M’sila	Algeria
Medjedel	M’sila	Algeria
El Hamel	M’sila	Algeria
Tarmount	M’sila	Algeria
Mascara	Mascara	Algeria
Mohammadia	Mascara	Algeria
Sig	Mascara	Algeria
Tighenif	Mascara	Algeria
Ghriss	Mascara	Algeria
Oued el Abtal	Mascara	Algeria
Maoussa	Mascara	Algeria
El Bordj	Mascara	Algeria
Sidi Kada	Mascara	Algeria
Bou Hanifia el Hamamat	Mascara	Algeria
Oued Taria	Mascara	Algeria
Sidi Abd el Moumene	Mascara	Algeria
Froha	Mascara	Algeria
Tizi	Mascara	Algeria
'Ain Fekan	Mascara	Algeria
Jean-Mermoz	Mascara	Algeria
Oggaz	Mascara	Algeria
Hacine	Mascara	Algeria
Medea	Médéa	Algeria
Berrouaghia	Médéa	Algeria
Ksar el Boukhari	Médéa	Algeria
Beni Slimane	Médéa	Algeria
Tablat	Médéa	Algeria
Chellalat el Adhaouara	Médéa	Algeria
'Ain Boucif	Médéa	Algeria
El Omaria	Médéa	Algeria
Djouab	Médéa	Algeria
Souagui	Médéa	Algeria
Oulad Dahmane	Médéa	Algeria
Bougzoul	Médéa	Algeria
Chahbounia	Médéa	Algeria
Bouskene	Médéa	Algeria
Ouzera	Médéa	Algeria
Sidi Baizid	Médéa	Algeria
Bir Ghbalou	Médéa	Algeria
Bir Ben Laabed	Médéa	Algeria
Ouled Rabah	Médéa	Algeria
Ouled Brahim	Médéa	Algeria
Zoubiria	Médéa	Algeria
Ben Chicao	Médéa	Algeria
Bouaiche	Médéa	Algeria
Chelghoum el Aid	Mila	Algeria
Mila	Mila	Algeria
Telerghma	Mila	Algeria
Tadjenanet	Mila	Algeria
Oued Athmenia	Mila	Algeria
Rouached	Mila	Algeria
Ahmed Rachedi	Mila	Algeria
Debbache el Hadj Douadi	Mila	Algeria
Oued Seguin	Mila	Algeria
Benyahia Abderrahmane	Mila	Algeria
Mostaganem	Mostaganem	Algeria
Ain Tedeles	Mostaganem	Algeria
Sidi Ali	Mostaganem	Algeria
Sidi Lakhdar	Mostaganem	Algeria
Bouguirat	Mostaganem	Algeria
Kheiredine	Mostaganem	Algeria
Sayada	Mostaganem	Algeria
Hassi Maameche	Mostaganem	Algeria
Sirat	Mostaganem	Algeria
Sour	Mostaganem	Algeria
Mesra	Mostaganem	Algeria
Fornaka	Mostaganem	Algeria
Oued el Kheir	Mostaganem	Algeria
Souaflia	Mostaganem	Algeria
Hadjadj	Mostaganem	Algeria
Mazagran	Mostaganem	Algeria
Ain Nouissy	Mostaganem	Algeria
Khadra	Mostaganem	Algeria
Stidia	Mostaganem	Algeria
Ouled Rahou	Mostaganem	Algeria
El Ghomri	Mostaganem	Algeria
Mecheria	Naama	Algeria
Ain Sefra	Naama	Algeria
Naama	Naama	Algeria
Oran	Oran	Algeria
Bir el Djir	Oran	Algeria
Es Senia	Oran	Algeria
Arzew	Oran	Algeria
Assi Bou Nif	Oran	Algeria
Sidi ech Chahmi	Oran	Algeria
'Ain el Turk	Oran	Algeria
Ain el Bya	Oran	Algeria
Misserghin	Oran	Algeria
Douar Bou Tlelis	Oran	Algeria
Zahana	Oran	Algeria
Bettioua	Oran	Algeria
Mers el Kebir	Oran	Algeria
Benfreha	Oran	Algeria
Mers el Hadjad	Oran	Algeria
El Kerma	Oran	Algeria
Bou Sfer	Oran	Algeria
Oued Tlelat	Oran	Algeria
Tafaraoui	Oran	Algeria
El Ancor	Oran	Algeria
Boufatis	Oran	Algeria
Assi-Ben Okba	Oran	Algeria
Ouargla	Ouargla	Algeria
Rouissat	Ouargla	Algeria
Djamaa	Ouargla	Algeria
Hassi Messaoud	Ouargla	Algeria
Tebesbest	Ouargla	Algeria
Sidi Amrane	Ouargla	Algeria
Taibet	Ouargla	Algeria
Temacine	Ouargla	Algeria
N'Goussa	Ouargla	Algeria
El Hadjira	Ouargla	Algeria
Blidet Amor	Ouargla	Algeria
Mnagueur	Ouargla	Algeria
Megarine	Ouargla	Algeria
Ben Nasseur	Ouargla	Algeria
Ouled Djellal	Ouled Djellal	Algeria
Ain Beida	Oum el Bouaghi	Algeria
Ain M'Lila	Oum el Bouaghi	Algeria
Oum el Bouaghi	Oum el Bouaghi	Algeria
Meskiana	Oum el Bouaghi	Algeria
Ain Fakroun	Oum el Bouaghi	Algeria
Ain Kercha	Oum el Bouaghi	Algeria
Sigus	Oum el Bouaghi	Algeria
Berriche	Oum el Bouaghi	Algeria
'Ain Babouche	Oum el Bouaghi	Algeria
Ksar Sbahi	Oum el Bouaghi	Algeria
Relizane	Relizane	Algeria
Oued Rhiou	Relizane	Algeria
'Ain Merane	Relizane	Algeria
Zemoura	Relizane	Algeria
Ammi Moussa	Relizane	Algeria
Oued el Djemaa	Relizane	Algeria
Ben Daoud	Relizane	Algeria
Oued Essalem	Relizane	Algeria
Saida	Saïda	Algeria
Setif	Sétif	Algeria
El Eulma	Sétif	Algeria
Ain Oulmene	Sétif	Algeria
'Ain Azel	Sétif	Algeria
'Ain Arnat	Sétif	Algeria
Bougaa	Sétif	Algeria
Amoucha	Sétif	Algeria
Tala Yfassene	Sétif	Algeria
Arbaoun	Sétif	Algeria
Beni Fouda	Sétif	Algeria
'Ain Abessa	Sétif	Algeria
Bellaa	Sétif	Algeria
'Ain Roua	Sétif	Algeria
Sidi Bel Abbes	Sidi Bel Abbès	Algeria
Sfizef	Sidi Bel Abbès	Algeria
Telagh	Sidi Bel Abbès	Algeria
Sidi Lahssen	Sidi Bel Abbès	Algeria
Ras el Ma	Sidi Bel Abbès	Algeria
Sidi Brahim	Sidi Bel Abbès	Algeria
Skikda	Skikda	Algeria
Azzaba	Skikda	Algeria
Tamalous	Skikda	Algeria
Collo	Skikda	Algeria
El Arrouch	Skikda	Algeria
Ain Kechera	Skikda	Algeria
Es Sebt	Skikda	Algeria
Souk Ahras	Souk Ahras	Algeria
Tamanrasset	Tamanrasset	Algeria
Abalessa	Tamanrasset	Algeria
I-n-Amguel	Tamanrasset	Algeria
Tebessa	Tébessa	Algeria
Bir el Ater	Tébessa	Algeria
Cheria	Tébessa	Algeria
Morsott	Tébessa	Algeria
Ouenza	Tébessa	Algeria
El Kouif	Tébessa	Algeria
Bou Khadra	Tébessa	Algeria
Bekkaria	Tébessa	Algeria
Negrine	Tébessa	Algeria
Tiaret	Tiaret	Algeria
Sougueur	Tiaret	Algeria
Frenda	Tiaret	Algeria
Ksar Chellala	Tiaret	Algeria
Takhemaret	Tiaret	Algeria
Rechaiga	Tiaret	Algeria
Mecheraa Asfa	Tiaret	Algeria
Ain el Hadid	Tiaret	Algeria
Medrissa	Tiaret	Algeria
Hassi Fedoul	Tiaret	Algeria
Medroussa	Tiaret	Algeria
Timimoun	Timimoun	Algeria
Tindouf	Tindouf	Algeria
Baraki	Tipaza	Algeria
